ingredients,meal,category
"water,sugar,teabag",black_tea,breakfast
"water,honey,lemon",lemon_tea,breakfast
"water,sugar,lemon",lemon_tea,breakfast
"water,honey,teabag",black_tea,breakfast
"water,sugar,teabags,milk",African_tea,breakfast
"water,honey,ginger,lemon",spice_tea,breakfast
"water,coffee,sugar",coffee,breakfast
"water,milk,sugar,coffee",coffee,breakfast
"water,sugar,teabags,milk,bread",African_tea,breakfast
"water,honey,ginger,lemon,bread",spice_tea,breakfast
"water,coffee,sugar,bread",coffee,breakfast
"water,milk,sugar,coffee,bread",coffee,breakfast
"water,sugar,teabags,milk,bread,banana",African_tea,breakfast
"water,honey,ginger,lemon,bread,banana",spice_tea,breakfast
"water,coffee,sugar,bread,banana",coffee,breakfast
"water,milk,sugar,coffee,bread,banana",coffee,breakfast
"water,sugar,teabags,milk,bread,apple",African_tea,breakfast
"water,honey,ginger,lemon,bread,apple",spice_tea,breakfast
"water,coffee,sugar,bread,apple",coffee,breakfast
"water,milk,sugar,coffee,bread,apple",coffee,breakfast
"water,sugar,teabags,milk,bread,eggs",African_tea,breakfast
"water,honey,ginger,lemon,bread,eggs",spice_tea,breakfast
"water,coffee,sugar,bread,eggs",coffee,breakfast
"water,milk,sugar,coffee,bread,eggs",coffee,breakfast
"banana,peas",banana_mix,Lunch
"banana,beans",banana_mix,Lunch
"Irishpotatoes,peas",potato_mix,Lunch
"Irishpotatoes,beans",potato_mix,Lunch
"Cassava,beans",Cassava_mix,Lunch
"banana,peanutflour",banana_mix,Lunch
"rice,beans",rice_mix,Lunch
"rice,peas",rice_mix,Lunch
"sweetpotatoes,beans",sweetpotatoes_mix,Lunch
"sweetpotatoes,peas",sweetpotatoes_mix,Lunch
"rice,peanutflour,tomatoes,onions,oil",rice_mix,Dinner
"banana,peas,tomatoes,onions,oil",banana_mix,Dinner
"banana,beans,tomatoes,onions,oil",banana_mix,Dinner
"Irishpotatoes,peas,tomatoes,onions,oil",potato_mix,Dinner
"Irishpotatoes,beans,tomatoes,onions,oil",potato_mix,Dinner
"Cassava,beans,tomatoes,onions,oil",Cassava_mix,Dinner
"banana,peanutflour,tomatoes,onions,oil",banana_mix,Dinner
"rice,beans,tomatoes,onions,oil",rice_mix,Dinner
"rice,peas,tomatoes,onions,oil",rice_mix,Dinner
"sweetpotatoes,beans,tomatoes,onions,oil",sweetpotatoes_mix,Lunch
"sweetpotatoes,peas,tomatoes,onions,oil",sweetpotatoes_mix,Lunch
"cassavaflour,beans",Ugali_mix,Dinner
"cassavaflour,peanutflour",Ugali_mix,Dinner
"cassavaflour,chicken",Ugali_mix,Dinner
"cassavaflour,beef",Ugali_mix,Lunch
"cassavaflour,cassavaleaves",Ugali_mix,Lunch
"rice,chicken",rice_mix,Dinner
"rice,beef",rice_mix,Dinner
"Irishpotatoes,oil,rice,beef",rice_mix,Dinner
"Irishpotatoes,oil,rice,chicken",rice_mix,Dinner
"Irishpotatoes,oil,rice,beef",rice_mix,Dinner
"Irishpotatoes,oil,rice,chicken",potato_mix,Dinner
"beef,rice,pillau massala,oil",rice_mix,Lunch
"chicken ,rice,pillau massala,oil",rice_mix,Lunch
"maccaroni,green beans,mayonnaise",macaroni_mix,Lunch
"cornflour,beef,tomatoes,onion",Ugali_mix,Lunch
"cassava,beans",Cassava_mix,Lunch
"mincedmeat,onions,eggs,oil",meatballs_mix,Lunch
"sweet_potatoes,beans",sweetpotatoes_mix,Lunch
"sweet_potatoes,green_beans,carrots,onions,oil",sweetpotatoes_mix,Dinner
"sweet_potatoes,peanutflour,tomatoes,onions,oil",sweetpotatoes_mix,Lunch
"yam,beans",yam_mix,Lunch
"yam,beans,onions,oil",yam_mix,Lunch
"yam,peanutflour,tomatoes,onions,oil",yam_mix,Lunch
"Irishpotatoes,butter,beef,onions,oil,tomatoes",potato_mix,Lunch
"banana,beef,onoins,carrots,tomatoes",banana_mix,Lunch
"banana,chicken,onions,carrots,tomatoes",banana_mix,Lunch
"Irishpotaotes,beef,onoins,carrots,tomatoes",potato_mix,Lunch
"Irishpotatoes,chicken,onions,carrots,tomatoes",potato_mix,Dinner
"banana,beef,onoins,carrots",banana_mix,Dinner
"banana,chicken,onions,carrots",banana_mix,Dinner
"Irishpotaotes,beef,onoins,carrots",potato_mix,Dinner
"Irishpotatoes,chicken,onions,carrots",potato_mix,Dinner
"banana,beef,onoins,tomatoes",banana_mix,Dinner
"banana,chicken,onions,tomatoes",banana_mix,Dinner
"Irishpotaotes,beef,onoins,tomatoes",potato_mix,Dinner
"Irishpotatoes,chicken,onions,tomatoes",potato_mix,Dinner
"sweet_potatoes,green_beans,onions,oil",sweetpotatoes_mix,Lunch
"sweet_potatoes,peanutflour,onions,oil",sweetpotatoes_mix,Dinner
"rice,eggs,onions,greenpaper,oil",rice_mix,Lunch
"rice,onions,greenpaper,carrots,oil",rice_mix,Lunch
"rice,eggs,greenpaper,oil,tomatoes",rice_mix,Dinner
"rice,onions,greenpaper,oil,peas",rice_mix,Dinner
"banana,beef,onoins,carrots,oil",banana_mix,Lunch
"banana,chicken,onions,carrots,oil",banana_mix,Lunch
"Irishpotaotes,beef,onoins,tomatoes,oil",potato_mix,Lunch
"Irishpotatoes,chicken,onions,tomatoes,oil",potato_mix,Lunch
"Irishpotaotes,greenpaper,onoins,tomatoes",potato_mix,Dinner
"Irishpotatoes,greenpaper,onions,tomatoes",potato_mix,Dinner
"Irishpotaotes,greenpaper,onoins,peas",potato_mix,Lunch
"Irishpotatoes,greenpaper,onions,greenbeans",potato_mix,Lunch
"maccaroni,onions,cheese",macaroni_mix,Dinner
"maccaroni,cheese",macaroni_mix,Lunch
"cassavaflour,cassavaleaves,onions,beef,tomatoes",Ugali_mix,Dinner
"sweetpotatoes,rice,cassavaleaves,onions,beef,tomatoes",sweetpotatoes_mix,Dinner
"Irishpotatoes,rice,cassavaleaves,onions,beef,tomatoes",potato_mix,Dinner
"bananas,rice,cassavaleaves,onions,beef,tomatoes",banana_mix,Dinner
"sweetpotatoes,rice,cassavaleaves,onions,chicken,tomatoes",sweetpotatoes_mix,Lunch
"Irishpotatoes,rice,cassavaleaves,onions,chicken,tomatoes",potato_mix,Lunch
"bananas,rice,cassavaleaves,onions,chicken,tomatoes",banana_mix,Lunch
"rice,cabbages,onions,tomatoes,greenpaper,oil",cabbage_mix,Lunch
"yam,cabbages,onions,tomatoes,greenpaper,oil",cabbage_mix,Lunch
"Irishpotatoes,cabbages,onions,tomatoes,greenpaper,oil",cabbage_mix,Lunch
"bananas,cabbages,onions,tomatoes,greenpaper,oil",cabbage_mix,Lunch
"sweetpotatoes,cabbages,onions,tomatoes,greenpaper,oil",cabbage_mix,Lunch
"rice,cabbages,onions,tomatoes,greenpaper,coconutoil",cabbage_mix,Dinner
"yam,cabbages,onions,tomatoes,greenpaper,coconutoil",cabbage_mix,Dinner
"Irishpotatoes,cabbages,onions,tomatoes,greenpaper,coconutoil",cabbage_mix,Dinner
"bananas,cabbages,onions,tomatoes,greenpaper,coconutoil",cabbage_mix,Dinner
"sweetpotatoes,cabbages,onions,tomatoes,greenpaper,coconutoil",cabbage_mix,Dinner
"rice,cabbages,onions,tomatoes,greenpaper,coconutoil,peanutflour",cabbage_mix,Lunch
"yam,cabbages,onions,tomatoes,greenpaper,coconutoil,peanutflour",cabbage_mix,Lunch
"Irishpotatoes,cabbages,onions,tomatoes,greenpaper,coconutoil,peanutflour",cabbage_mix,Lunch
"bananas,cabbages,onions,tomatoes,greenpaper,coconutoil,peanutflour",cabbage_mix,Lunch
"sweetpotatoes,cabbages,onions,tomatoes,greenpaper,coconutoil,peanutflour",cabbage_mix,Lunch
"cassavaflour,cassavaleaves,onions,goat,tomatoes",Cassava_mix,Dinner
"sweetpotatoes,rice,cassavaleaves,onions,goat,tomatoes",sweetpotatoes_mix,Dinner
"Irishpotatoes,rice,cassavaleaves,onions,goat,tomatoes",potato_mix,Dinner
"bananas,rice,cassavaleaves,onions,goat,tomatoes",banana_mix,Dinner
"goat,greenpaper,onions,tomatoes,irishpotatoes",potato_brochette,Lunch
"goat,greenpaper,onions,tomatoes,sweetpotatoes",sweetpotatoes_mix,Lunch
"goat,greenpaper,onions,tomatoes,bananas",bananas_brochette,Lunch
"goat,greenpaper,onions,tomatoes,yam",yam_mix,Lunch
"goat,greenpaper,onions,tomatoes,cassavaflour",Ugali_mix,Lunch
"goat,greenpaper,onions,tomatoes,cornflour",cornflour_brochette,Lunch
"beef,greenpaper,onions,tomatoes,irishpotatoes",potato_brochette,Dinner
"beef,greenpaper,onions,tomatoes,sweetpotatoes",sweetpotatoes_mix,Dinner
"beef,greenpaper,onions,tomatoes,bananas",bananas_brochette,Dinner
"beef,greenpaper,onions,tomatoes,yam",yam_mix,Dinner
"beef,greenpaper,onions,tomatoes,cassavaflour",Ugali_mix,Dinner
"beef,greenpaper,onions,tomatoes,cornflour",cornflour_brochette,Dinner
"beef,onions,irishpotatoes",potato_brochette,Lunch
"beef,onions,sweetpotatoes",sweetpotatoes_mix,Lunch
"beef,onions,bananas",bananas_brochette,Lunch
"beef,onions,yam",yam_mix,Lunch
"beef,onions,cassavaflour",Ugali_mix,Lunch
"beef,onions,cornflour",cornflour_brochette,Lunch
"goat,onions,irishpotatoes",potato_brochette,Dinner
"goat,onions,sweetpotatoes",sweetpotatoes_mix,Dinner
"goat,onions,bananas",bananas_brochette,Dinner
"goat,onions,yam",yam_mix,Dinner
"goat,onions,cassavaflour",Ugali_mix,Lunch
"goat,onions,cornflour",cornflour_brochette,Dinner
"rice,cabbages,onions,coconutoil,peanutflour",cabbage_mix,Dinner
"yam,cabbages,onions,coconutoil,peanutflour",cabbage_mix,Dinner
"Irishpotatoes,cabbages,onions,coconutoil,peanutflour",cabbage_mix,Dinner
"bananas,cabbages,onions,coconutoil,peanutflour",cabbage_mix,Dinner
"sweetpotatoes,cabbages,onions,coconutoil,peanutflour",cabbage_mix,Dinner
"banana,peas,onions,greenpaper,oil",banana_mix,Dinner
"banana,beans,onions,greepaper,oil",banana_mix,Dinner
"Irishpotatoes,peas,onions,greenpaper,oil",potato_mix,Dinner
"Irishpotatoes,beans,onions,greenpaper,oil",potato_mix,Dinner
"Cassava,beans,onions,greenpaper,oil",Cassava_mix,Dinner
"banana,peanutflour,onions,greenpaper,oil",banana_mix,Dinner
"rice,beans,onions,greenpaper,oil",rice_mix,Dinner
"rice,peas,onions,greenpaper,oil",rice_mix,Dinner
"sweetpotatoes,beans,onions,greenpaper,oil",sweetpotatoes_mix,Dinner
"sweetpotatoes,peas,onions,greepaper,oil",sweetpotatoes_mix,Dinner
"rice,peanutflour,dodo,onions,oil",rice_mix,Lunch
"banana,peas,dodo,tomatoes,onions,oil",banana_mix,Lunch
"banana,beans,dodo,tomatoes,onions,oil",banana_mix,Lunch
"Irishpotatoes,peas,dodo,tomatoes,onions,oil",potato_mix,Lunch
"Irishpotatoes,beans,dodo,tomatoes,onions,oil",potato_mix,Lunch
"Cassava,beans,tomatoes,dodo,onions,oil",Cassava_mix,Lunch
"banana,peanutflour,tomatoes,dodo,onions,oil",banana_mix,Lunch
"rice,beans,tomatoes,dodo,onions,oil",rice_mix,Lunch
"rice,peas,tomatoes,dodo,onions,oil",rice_mix,Lunch
"rice,dodo,onions,oil",rice_mix,Dinner
"banana,dodo,tomatoes,onions,oil",banana_mix,Dinner
"banana,dodo,tomatoes,onions,oil",banana_mix,Dinner
"Irishpotatoes,dodo,tomatoes,onions,oil",potato_mix,Dinner
"Irishpotatoes,dodo,tomatoes,onions,oil",potato_mix,Dinner
"Cassava,tomatoes,dodo,onions,oil",Cassava_mix,Dinner
"banana,tomatoes,dodo,onions,oil",banana_mix,Dinner
"rice,tomatoes,dodo,onions,oil",rice_mix,Dinner
"rice,tomatoes,dodo,onions,oil",rice_mix,Dinner
"mincedmeat,onions,eggs,oil,plantain",meatballs_mix,Dinner
"plantain,oil,chicken,onions,tomatoes,greenpaper",banana_mix,Dinner
"mincedmeat,onions,eggs,oil,Irishpotatoes",meatballs_mix,Dinner
"mincedmeat,onions,eggs,oil,sweetpotatoes",meatballs_mix,Dinner
"mincedmeat,onions,eggs,oil,rice",meatballs_mix,Dinner
"mincedmeat,onions,eggs,oil,yam",meatballs_mix,Dinner
"mincedmeat,onions,eggs,oil,macaroni",meatballs_mix,Dinner
"mincedmeat,onions,eggs,oil,bananas",meatballs_mix,Dinner
"sorghumflour,water,sugar",porridge,breakfast
"cornflour,water,sugar,milk",porridge,breakfast
"beef,irishpotatoes,butter,onions,greenpepper,tomatoes",potato_mix,Lunch
"goat,irishpotatoes,butter,onions,greenpepper,tomatoes",potato_mix,Lunch
"chicken,irishpotatoes,butter,onions,greenpepper,tomatoes",potato_mix,Lunch
"beef,irishpotatoes,butter,onions,greenpepper,oil",potato_mix,Dinner
"goat,irishpotatoes,butter,onions,greenpepper,oil",potato_mix,Dinner
"chicken,irishpotatoes,butter,onions,greenpepper,oil",potato_mix,Dinner
"beef,bananas,onions,greenpepper,oil",beef_sautedbananas,Dinner
"beef,bananas,onions,greenpepper,oil",beef_sautedbananas,Lunch
"goat,bananas,butter,onions,greenpepper,oil",goat_sautedbananas,Lunch
"goat,bananas,butter,onions,greenpepper,oil",goat_sautedbananas,Dinner
"chicken,bananas,butter,onions,greenpepper,oil",banana_mix,Lunch
"beef,sweetpotatoes,onions,greenpepper,oil",potato_mix,Dinner
"goat,sweetpotatoes,butter,onions,greenpepper,oil",sweetpotatoes_mix,Dinner
"chicken,sweetpotatoes,butter,onions,greenpepper,oil",potato_mix,Dinner
"beef,yam,onions,greenpepper,oil",yam_mix,Dinner
"goat,yam,butter,onions,greenpepper,oil",yam_mix,Dinner
"chicken,yam,butter,onions,greenpepper,oil",yam_mix,Lunch
"water,teabag",black_tea,breakfast
"yam,beans,water",yam_mix,Dinner
"yam,beans,onions,oil,water",yam_mix,Dinner
"yam,peanutflour,tomatoes,onions,oil,water",yam_mix,Dinner
"yam,beans,water",yam_mix,Dinner
"yam,beans,onions,water",yam_mix,Lunch
"yam,peanutflour,tomatoes,onions,water",yam_mix,Dinner
"yam,beans,water",yam_mix,Dinner
"yam,beans,onions,water",yam_mix,Lunch
"yam,peanutflour,tomatoes,onions,water",yam_mix,Dinner
"water,honey,lemon,bread",lemon_tea,breakfast
"water,sugar,lemon,bread",lemon_tea,breakfast
